,C11_Predicted(Gpa),C12_Predicted(Gpa),C44_Predicted(Gpa),E1_Predicted(Gpa),C11_Reported(Gpa),C12_Reported(Gpa),C44_Reported(Gpa),E1_Reported(Gpa),C11_Error(%),C12_Error(%),C44_Error(%),E1_Error(%),C11_Pred(Me),C12_Pred(Me),C44_Pred(Me),C11_Error_Me,C12_Error_Me,C44_Error_Me
Ag,114.0,87.2,46.2,38.5,123.99,93.67,46.12,43.4,-8.1,-7.0,0.3,-11.3,128.19420373572103,97.64120799901798,45.18219055260564,3.390760332059874,4.239572967885104,-2.033411637888894
AgAl(98.4-1.6),129.9,105.5,48.4,35.3,128.07,98.3,46.43,42.7,1.5,7.4,4.2,-17.3,169.2064052891354,140.67097681753552,49.35893827315058,32.12025086994254,43.1037404044105,6.308288333298682
AgAu(96-4),127.6,96.6,46.2,44.3,124.27,92.66,47.28,45.1,2.7,4.3,-2.2,-1.8,123.86043310658542,92.42250387465613,47.806982218535154,-0.32957825172171706,-0.25630922225757286,1.1145986009626754
AgBr,47.3,21.4,6.9,33.9,56.3,32.8,7.2,32.2,-16.0,-34.7,-4.0,5.5,50.333363650039104,26.47286872460422,7.27412730590848,-10.597933126040664,-19.290034376206645,1.0295459153955515
AgCd(98.08-1.92),123.1,98.4,49.6,35.7,121.6,91.3,45.9,43.3,1.3,7.8,8.0,-17.4,142.69057905040594,115.14019099547134,54.46092124151493,17.34422619276805,26.111928801173438,18.65124453489092
AgCl,50.0,37.1,14.5,18.3,60.1,36.2,6.25,32.9,-16.8,2.5,132.0,-44.2,59.800056455848974,35.44780565958139,6.1524768064083055,-0.49907411672383895,-2.077884918283458,-1.5603710974671117
AgIn(91.64-8.36),107.3,78.6,40.8,40.8,116.6,89.0,45.0,39.5,-8.0,-11.6,-9.2,3.2,113.79877134859281,86.39855031452919,46.012239146817194,-2.402425944603076,-2.922977174686305,2.2494203262604313
AgMg(96.93-3.07),115.3,90.6,46.9,35.6,119.8,89.8,46.0,42.9,-3.7,0.9,2.0,-17.0,115.64443810101359,84.86525683007946,43.9778446649955,-3.4687494983192035,-5.495259654699931,-4.395989858705431
AgSn(96.83-3.17),124.6,97.7,49.1,38.8,121.0,92.2,45.8,41.3,3.0,6.0,7.1,-6.1,110.32442212030504,80.9348869726132,44.74995698418965,-8.822791636111534,-12.218126927751413,-2.2926703401972612
AgZn(97.6-2.4),138.6,110.5,49.7,40.5,120.9,91.6,45.8,41.9,14.6,20.7,8.5,-3.4,102.38471489826952,72.20866103503104,44.78868803072519,-15.314545162721656,-21.169584022891872,-2.208104736407876
Al,118.0,69.6,27.6,66.4,113.04,66.63,27.83,63.6,4.4,4.4,-0.9,4.4,121.23972505501195,75.25306609943117,27.74129312078975,7.253826127929881,12.94171709354821,-0.31874552357258235
AlSb,96.9,45.0,35.1,68.3,89.39,44.27,41.55,60.1,8.4,1.7,-15.6,13.8,92.87124356334962,47.430658323980836,40.42169932595249,3.8944440802658264,7.139503781298471,-2.71552508796031
Au,178.0,142.9,35.3,50.8,192.44,162.98,42.0,43.0,-7.5,-12.3,-16.1,18.2,114.3936445899268,82.79458646318194,39.45465880386564,-40.5562021461615,-49.19954199093021,-6.060336181272284
Au3Ag,136.3,107.0,53.5,42.2,166.21,132.41,48.54,48.8,-18.0,-19.2,10.2,-13.4,174.9168504787916,141.9762600165006,50.904189329215704,5.238463677751988,7.224726241598514,4.870600183798321
Au3Ni,230.8,190.1,41.5,59.1,195.73,158.19,50.98,54.3,17.9,20.2,-18.6,8.8,98.62086685705361,55.70179030778618,44.30202963556166,-49.61382166399958,-64.78804582604073,-13.099196477909647
AuAg,149.9,120.9,57.9,42.0,148.94,113.5,50.76,50.8,0.7,6.6,14.1,-17.4,113.61323497694356,75.4960001383763,45.54096625983023,-23.718789460894612,-33.483700318611184,-10.281784358096475
AuAg3,132.6,102.5,49.1,43.2,138.26,104.48,48.78,48.3,-4.1,-1.9,0.6,-10.7,132.14992369023668,97.98326392714266,48.08289503212501,-4.419265376655082,-6.218162397451517,-1.4290794749384832
AuNi(57.58-42.42),183.6,147.0,70.1,52.8,199.5,156.0,61.86,62.6,-8.0,-5.7,13.4,-15.7,206.75066126493067,163.56706417965015,62.435108759837966,3.634416674150712,4.850682166442401,0.9296940831522259
AuNi(90.28-9.72),204.5,165.7,37.1,56.3,192.31,160.95,44.97,45.6,6.4,2.9,-17.4,23.3,168.7238426389371,137.60806232328474,46.3366603997816,-12.264654651896885,-14.502601849465828,3.039049143388039
AuNi(97.05-2.95),195.4,164.5,42.1,45.1,192.59,162.61,43.0,43.7,1.5,1.1,-2.1,3.2,106.97566911283431,75.28961864455992,41.525999386425084,-44.4541933055536,-53.69926902124106,-3.4279084036625944
Ba3N2,69.3,32.3,12.9,48.8,60.2,18.6,12.1,51.4,15.1,73.7,6.7,-5.2,66.78810283148228,27.2567565622143,12.034787403222817,10.943692411100123,46.541701947388695,-0.5389470808031658
BaO,127.1,50.8,36.4,98.1,125.7,48.1,35.5,99.1,1.1,5.5,2.5,-1.0,117.07573139597963,35.6390991687498,35.146746938596216,-6.86099332062082,-25.9062387344079,-0.9950790462078419
