,C11_Predicted(Gpa),C12_Predicted(Gpa),C44_Predicted(Gpa),E1_Predicted(Gpa),C11_Reported(Gpa),C12_Reported(Gpa),C44_Reported(Gpa),E1_Reported(Gpa),C11_Error(%),C12_Error(%),C44_Error(%),E1_Error(%),C11_Pred(Me),C12_Pred(Me),C44_Pred(Me),C11_Error_Me,C12_Error_Me,C44_Error_Me
CuZn(77.3-22.7),151.7,113.5,65.5,54.6,144.7,107.1,71.3,53.6,4.8,5.9,-8.2,1.9,133.8742644976716,95.51900137755143,68.40359168428192,-7.4815034570341385,-10.81325735055888,-4.062283752760276
CuZn(95.41-4.59),154.2,110.7,68.2,61.7,163.4,119.2,74.2,62.8,-5.6,-7.2,-8.1,-1.8,168.77584729910916,123.94740438101826,71.13769516722866,3.289992227116985,3.9827217961562553,-4.127095461955992
F3KMg,122.9,25.0,43.5,114.5,132.0,39.6,48.5,113.7,-6.9,-37.0,-10.4,0.7,113.32641950788883,3.369165959360707,47.996644001737714,-14.146651887963008,-91.49200515312953,-1.0378474190974973
Fe,223.3,122.5,115.0,136.5,233.1,135.44,117.83,133.6,-4.2,-9.5,-2.4,2.2,225.4833136904806,126.51476705414922,115.35163394062512,-3.2675616943455146,-6.589805778094197,-2.1033404560594735
FeAl(59.89-40.11),173.9,109.3,127.7,89.6,181.05,113.69,127.09,93.3,-3.9,-3.9,0.5,-4.0,170.1537416118677,101.63774485122008,123.60729438454432,-6.018369725563275,-10.600980867956654,-2.7403459087699154
FeAl(66-34),171.7,115.3,134.2,79.0,171.67,113.55,129.54,81.3,0.0,1.6,3.6,-2.8,175.87869508437402,117.60702138950488,127.49074551498954,2.4516194351803042,3.5728942223733005,-1.581947263401614
FeAl(71.92-28.08),174.5,132.2,136.8,60.6,166.36,122.58,130.97,62.4,4.9,7.9,4.5,-2.8,166.5523744770784,121.51055885393481,118.25773075590557,0.1156374591719008,-0.8724434214922401,-9.706245127963983
FeAl(74.95-25.05),174.8,137.8,139.5,53.2,170.99,130.61,131.7,57.9,2.2,5.5,5.9,-8.0,161.8589680644888,119.38153904512838,110.66178887354731,-5.340097043985732,-8.596938178448537,-15.974344059569233
FeAl(80.17-19.83),174.4,128.1,133.0,65.8,179.42,124.82,125.54,77.0,-2.8,2.7,5.9,-14.5,187.2728810417475,132.89948502726185,125.94659610796087,4.3768147596407925,6.472909010785013,0.323877734555413
FeAl(85.5-14.5),200.6,135.8,125.5,91.0,193.71,124.93,124.34,95.7,3.6,8.7,1.0,-5.0,185.22322963787383,115.08710569448712,119.43954685482322,-4.381173074248196,-7.878727531828131,-3.941171903793456
FeAl(90.35-9.65),202.2,127.1,137.2,104.0,204.89,126.97,122.62,107.7,-1.3,0.1,11.9,-3.5,218.37929544394063,139.21885502614185,116.01871384457127,6.583676823632509,9.647046567017291,-5.383531361465289
FeAl(96.03-3.97),222.4,138.5,120.8,116.1,220.83,132.49,120.22,121.5,0.7,4.5,0.5,-4.4,227.33775551050437,138.13536886578194,116.55687134958092,2.946952638004054,4.260977330954738,-3.0470210035094683
FeCr2O4(Chromite),327.6,138.8,123.0,245.0,322.5,143.7,116.7,233.9,1.6,-3.4,5.4,4.7,339.15478256496556,164.51574451623907,118.72986025026863,5.164273663555211,14.485556378732833,1.739383247873716
GaAs,125.3,50.8,53.5,96.1,119.04,53.84,59.52,85.5,5.3,-5.7,-10.2,12.3,120.98740765146498,54.54613411265738,57.347192575482374,1.6359271265666757,1.3115418139995796,-3.6505501083965535
GaP,149.4,60.2,62.0,114.8,141.2,62.53,70.47,102.8,5.8,-3.7,-12.0,11.6,143.90776322170245,64.40092080996993,68.76225023338539,1.917679335483332,2.9920371181351846,-2.423371316325545
Garnet(21.8% FeO),198.5,80.8,50.2,151.8,197.0,90.0,57.0,140.6,0.8,-10.3,-12.0,8.0,178.39316769192538,69.1361736581907,56.88300488390242,-9.445092542169856,-23.182029268677,-0.20525458964487206
Garnet(22.7% FeO),196.6,124.3,69.1,100.3,192.0,99.0,59.0,124.6,2.4,25.6,17.1,-19.5,210.18258402764798,118.69537308591951,59.42068224678896,9.47009584773332,19.89431624840355,0.7130207572694179
Garnet(23.6% FeO),199.5,97.9,63.7,135.1,210.0,103.0,67.0,142.2,-5.0,-5.0,-4.9,-5.0,224.3465420329637,118.60787050151554,67.20412378647897,6.8316866823636655,15.15327233156848,0.30466236787906503
Garnet(26.2% FeO),226.2,130.4,54.2,130.8,226.0,126.0,62.0,135.8,0.1,3.5,-12.6,-3.7,240.34192157863646,142.8188442766454,63.325720764188006,6.345982999396663,13.348289108448725,2.1382592970774286
Garnet(28.7% FeO),272.9,161.2,62.5,153.2,273.0,157.0,68.0,158.4,0.0,2.7,-8.1,-3.3,301.0958860413499,189.09606124363233,69.89052195838268,10.291533348479817,20.443351110593845,2.7801793505627614
Garnet(33.5% FeO),325.7,125.7,83.2,255.8,327.0,124.0,89.0,258.8,-0.4,1.3,-6.5,-1.2,391.07215371063626,198.8251564344627,90.94540966888691,19.59393079835971,60.34286809230864,2.18585356054709
GaSb,90.3,36.4,37.0,69.4,88.39,40.33,43.16,63.1,2.1,-9.8,-14.4,9.9,89.7144894097194,41.30548886603988,42.417280666186535,1.4984606965939642,2.418767334589343,-1.720851097806908
HfCo2,247.1,108.5,87.4,180.9,255.54,123.3,90.3,175.3,-3.3,-12.0,-3.2,3.2,273.3340041952362,142.6825769739964,90.5379120750016,6.963295059574324,15.71985156041881,0.2634685215964594
HgTe,63.3,48.0,21.3,21.9,54.8,38.1,20.4,23.5,15.4,25.9,4.3,-7.0,53.72815519023244,36.647964950391284,19.458120934130434,-1.955921185707217,-3.811115615770912,-4.617054244458648
InAs,78.0,43.4,40.1,47.0,83.29,45.26,39.59,51.4,-6.3,-4.1,1.3,-8.6,83.24406066051834,44.49457052997527,38.25537587510794,-0.055155888439984334,-1.691183097712611,-3.3711142331196418
InP,102.1,58.1,41.2,59.9,102.2,57.6,46.0,60.7,-0.1,0.9,-10.5,-1.2,102.14802636151857,56.624354843701255,44.30958980676873,-0.05085483217360861,-1.6938283963519905,-3.674804767894071
InSb,68.2,35.2,27.6,44.3,64.72,32.65,30.71,42.8,5.4,7.8,-10.3,3.4,67.10708751706754,34.445749657013636,29.441196867016032,3.6883305269894033,5.49999894950578,-4.131563441823409
KF,74.4,18.5,12.7,67.0,64.85,14.27,12.81,59.7,14.7,29.7,-0.6,12.3,71.77184683010495,20.935099225559366,12.532258904510543,10.67362656916724,46.707072358509926,-2.168158434734247
LiF,124.2,50.7,53.6,94.8,119.0,45.8,54.2,93.5,4.4,10.8,-1.1,1.3,122.84048446026432,50.067887910975415,54.05057301477358,3.2272978657683367,9.318532556714887,-0.2756955446981912
Magnetite,271.0,113.6,96.1,203.9,275.0,104.0,95.5,217.9,-1.4,9.3,0.7,-6.4,263.4556792173931,90.13974529475118,95.43595387593157,-4.197934830038879,-13.327167985816175,-0.06706400426013197
Mg2Sn,83.0,16.8,34.9,77.4,82.4,20.8,36.6,74.0,0.8,-19.1,-4.7,4.5,84.64025416387065,23.84379212428468,36.598199045876534,2.718755053241074,14.633615982137876,-0.004920639681605439
MgAg,71.5,43.6,47.3,38.4,84.6,56.7,48.5,39.1,-15.5,-23.1,-2.5,-1.7,79.40970960931449,51.53098325134861,49.325283353151825,-6.135095024450951,-9.11643165546983,1.7016151611377832
MgAl2O4(Spinel),276.2,150.4,167.7,170.2,279.0,153.0,153.0,170.6,-1.0,-1.7,9.6,-0.2,278.2928511151351,150.23712727556762,147.7830333624983,-0.2534583816720147,-1.8057991662956758,-3.4097821160141915
MgCu2,122.3,76.2,44.7,63.8,122.8,70.6,41.2,71.3,-0.4,7.9,8.4,-10.5,133.08779120647102,81.16382227633503,41.05965861394028,8.377680135562725,14.96292107129608,-0.34063443218379613
MnO,225.1,125.8,79.4,134.9,223.0,120.0,79.0,139.0,0.9,4.8,0.5,-2.9,241.5113845405462,138.72628391524438,78.24929377237342,8.301069300693365,15.605236596036983,-0.9502610476285821
Mo,452.0,175.6,106.6,353.8,469.6,167.6,106.8,381.4,-3.7,4.8,-0.1,-7.2,522.1102712427323,229.55620465423112,107.52709263091471,11.181914659866333,36.966709220901635,0.6807983435531006
MoRe(73.1-26.9),444.0,177.4,128.1,342.8,460.7,195.9,132.3,343.8,-3.6,-9.5,-3.2,-0.3,405.0257958139799,129.88042928944185,131.55511512547977,-12.084698108534852,-33.70064865265858,-0.5630271160394847
MoRe(83.4-16.6),446.8,163.1,118.7,359.5,465.0,185.8,123.7,358.9,-3.9,-12.2,-4.0,0.2,549.4727749263003,284.8231541008893,126.75258576910839,18.166188156193613,53.295561948810175,2.46773303889118
MoRe(93-7),455.5,171.3,103.6,361.8,466.5,172.9,114.8,373.0,-2.4,-0.9,-9.7,-3.0,527.291521232819,254.12004410501322,119.17371177156933,13.031408624398507,46.975155641997226,3.809853459555168
NaBrO3,62.5,21.0,14.3,52.0,57.32,17.64,15.23,49.0,9.1,18.8,-6.2,6.1,61.181132745819234,23.400683607582327,15.557384187110422,6.736100393962375,32.656936550920214,2.149600703285763
NaCl,59.3,20.6,10.8,48.7,49.6,13.1,12.68,44.1,19.6,57.1,-15.1,10.4,49.186845468928354,13.392541058450206,12.851122585352972,-0.8329728449025152,2.233137850764934,1.3495472030991473
NaClO3,59.7,18.6,10.3,50.9,49.2,14.2,11.6,42.8,21.4,31.2,-11.4,18.8,51.98101261947075,15.71814840662934,11.250618652709692,5.652464673721023,10.69118596217845,-3.0119081662957568
NaF,101.4,26.6,26.5,90.4,96.3,24.59,27.94,86.3,5.3,8.0,-5.3,4.7,94.76268767323374,23.113047059773855,28.098791342797497,-1.5963783247832346,-6.006315332355204,0.5683297881084326
Nb,233.7,127.4,33.9,143.7,240.19,125.58,28.22,154.0,-2.7,1.5,20.0,-6.6,371.27271768098007,258.9797572530103,28.041929981416477,54.57459414670888,106.2269129264296,-0.6310064443073077
Nb3Sn,250.0,101.5,37.1,191.4,253.8,112.4,39.57,184.8,-1.5,-9.7,-6.2,3.6,265.55926872356804,122.90885882763399,39.2167232744588,4.6332816089708535,9.349518529923474,-0.8927892988152634
Ni,248.5,163.7,94.5,118.5,244.0,158.0,102.0,119.8,1.9,3.6,-7.4,-1.1,233.36613843253872,145.2439524212955,97.8044516402889,-4.35813998666446,-8.073447834623108,-4.113282705599115
NiAl,202.0,135.4,115.0,93.2,211.55,143.23,112.11,95.9,-4.5,-5.4,2.6,-2.8,230.90349101988616,161.9455536654921,107.63243294772899,9.148424022635854,13.06678326153188,-3.993905139836779
NiAl(90.4-9.6),248.5,147.1,141.9,139.1,252.0,153.0,132.0,136.4,-1.4,-3.9,7.5,2.0,259.0666269509496,159.17128134427622,128.28979325417276,2.8042170440276295,4.033517218481192,-2.8107626862327546
NiCu(31.1-68.9),191.3,134.8,81.1,79.8,189.1,131.9,89.6,80.7,1.2,2.2,-9.5,-1.1,196.13166999804037,137.80084917656728,84.7137458651876,3.718492859883856,4.473729474273902,-5.453408632603114
NiCu(53.8-46.2),208.1,139.3,90.5,96.4,208.6,142.8,100.9,92.5,-0.3,-2.5,-10.3,4.2,207.54667468563653,140.35670360053246,95.81131058106597,-0.5049498151310942,-1.7109918763778402,-5.043299721441068
NiCu(77.2-22.8),224.3,142.2,111.0,114.0,228.1,147.3,111.3,112.5,-1.7,-3.5,-0.3,1.3,249.60420911854027,169.11707202059702,110.34767705479973,9.427535781911564,14.811318411810596,-0.8556360693623228
NiCu(80-20),223.2,144.8,103.0,109.2,229.8,149.4,113.7,112.1,-2.9,-3.0,-9.4,-2.5,248.4119440987461,168.29045881149227,112.893444637453,8.099192384136675,12.644216071949309,-0.7093714710175916
NiCu(92.7-7.3),252.3,150.7,113.8,139.6,241.3,151.1,120.1,124.9,4.6,-0.3,-5.2,11.8,254.6208264742574,163.48681994799438,115.7635802532581,5.520441970268291,8.197763036396017,-3.610674227095667
PbF2,90.1,45.6,24.1,59.5,88.8,47.2,24.54,56.0,1.5,-3.5,-2.0,6.2,100.41397719631448,60.912745557067424,25.591910882033808,13.078803149002793,29.052427027685212,4.286515411710713
PbS,102.1,39.8,25.5,79.8,102.0,38.0,25.0,81.4,0.1,4.8,2.1,-1.9,115.51713977691217,56.00136405550895,25.961349097014157,13.252097820502131,47.37201067239197,3.8453963880566278
Pd,223.1,181.0,83.8,61.0,227.1,176.04,71.73,73.4,-1.7,2.8,16.8,-16.8,268.3533810124155,217.8552510149008,72.5671561569887,18.165293268346776,23.75326687963009,1.1670934852763108
Permalloy(Ni73.8-Fe26.2),222.3,138.4,124.7,116.2,230.4,144.4,119.2,119.1,-3.5,-4.2,4.6,-2.5,253.84499487864298,168.70739556268958,119.65443106796106,10.17577902718879,16.833376428455388,0.381234117416991
Pt,357.0,266.3,79.2,129.5,346.7,250.7,76.5,136.3,3.0,6.2,3.6,-4.9,371.67195485640303,280.1483775432572,81.52957283485293,7.2027559435832265,11.746460926708103,6.574605012879645
RbCl,361.8,71.2,47.9,338.4,362.42,61.24,46.78,344.7,-0.2,16.2,2.4,-1.8,348.7752182822941,14.33858764674656,46.598835708581,-3.7649085916080622,-76.58623832993705,-0.38726868623129906
Si,174.8,71.3,76.9,133.5,165.78,63.94,79.62,130.2,5.5,11.5,-3.4,2.6,173.44777509768812,72.0681871958827,78.90076158594098,4.6252715030088805,12.71221019062043,-0.903338877240669
Sr3N2,57.4,28.4,13.1,38.6,47.3,21.8,14.6,33.5,21.4,30.3,-10.1,15.2,50.416163003246595,25.498068281736884,14.79901763726258,6.5880824592951335,16.96361597127011,1.3631345017984935
SrF2,128.3,47.4,31.6,102.7,123.5,43.05,31.28,101.2,3.9,10.1,1.0,1.5,138.70236231841295,63.68047529416047,32.35433045471714,12.309605116123848,47.92212611883967,3.4345602772287145
SrO,148.4,31.8,60.5,137.2,160.1,43.5,59.0,141.5,-7.3,-27.0,2.5,-3.0,143.8376412868921,13.067432805849116,58.16783892936139,-10.157625679642653,-69.9599245842549,-1.4104424926078176
SrTiO3,329.7,125.1,125.2,260.9,318.7,103.4,123.0,268.0,3.5,21.0,1.8,-2.6,332.6775461230203,118.13237636835389,121.88569974754641,4.385800477885258,14.247946197634315,-0.9059351645964137
Ta,255.1,159.2,85.5,132.8,266.7,160.8,82.49,145.7,-4.3,-1.0,3.7,-8.9,281.518187700523,174.343678664573,80.80039815193516,5.55612587196214,8.422685736674739,-2.048250512868032
Th,73.4,45.6,44.2,38.4,75.3,48.9,47.8,36.8,-2.5,-6.7,-7.5,4.4,71.95820743843326,45.05045344806326,45.96640446948206,-4.437971529305092,-7.872283337293947,-3.835973913217447
ThO2,350.5,80.2,63.4,320.6,367.0,106.0,79.7,319.5,-4.5,-24.3,-20.4,0.3,324.05109869808246,35.99681607793424,79.25078259184261,-11.702697902429847,-66.04073954911864,-0.5636353929201944
TlCl,47.7,22.6,7.5,33.2,40.1,15.3,7.6,31.6,19.0,47.5,-1.2,5.0,34.052180953164,8.069189586009166,7.6257873958904305,-15.081843009566093,-47.26019878425382,0.3393078406635643
UC,324.6,66.3,58.6,302.1,320.0,85.0,64.7,284.3,1.4,-22.0,-9.4,6.2,323.9815891855069,72.16711584761039,62.67824967207234,1.2442466204709035,-15.09751076751719,-3.1248073074616114
UO2,371.8,86.8,64.2,339.0,396.0,121.0,64.1,339.4,-6.1,-28.3,0.1,-0.1,439.7088663934185,155.73189571287975,62.68063890014492,11.037592523590524,28.704046043702274,-2.2142918874494133
V,235.2,141.4,47.2,129.0,227.95,118.7,42.55,146.7,3.2,19.2,10.9,-12.1,277.36303430021235,177.20255233838282,45.0175174706883,21.677137223168398,49.2860592572728,5.799100988691657
ZnS,101.5,59.5,42.9,57.5,104.62,65.34,46.13,54.4,-3.0,-8.9,-7.1,5.7,99.57034447286593,59.52895362810045,44.82880911023645,-4.826663665775261,-8.893551227272038,-2.82070429170508
ZnSe,75.5,45.5,44.9,41.2,80.96,48.81,44.05,44.2,-6.8,-6.8,1.9,-6.8,84.18696649925626,51.87344660448987,43.07889416847772,3.9858775929548718,6.276268396824152,-2.2045535335352557
ZnTe,76.6,46.9,30.4,41.0,71.34,40.78,31.15,41.7,7.4,14.9,-2.4,-1.5,74.80852752160263,43.78268285153169,29.99115112027637,4.861967369782204,7.363126168542638,-3.7202211227082764
ZrCo2,223.5,94.1,79.1,167.8,233.11,112.71,83.66,159.6,-4.1,-16.5,-5.5,5.1,245.88252226862423,127.62852171564818,84.67960990263957,5.479182475494065,13.236200617201831,1.2187543660525615
