,C11_Predicted(Gpa),C12_Predicted(Gpa),C44_Predicted(Gpa),E1_Predicted(Gpa),C11_Reported(Gpa),C12_Reported(Gpa),C44_Reported(Gpa),E1_Reported(Gpa),C11_Error(%),C12_Error(%),C44_Error(%),E1_Error(%),C11_Pred(Me),C12_Pred(Me),C44_Pred(Me),C11_Error_Me,C12_Error_Me,C44_Error_Me
Ag,114.0,87.2,46.2,38.5,123.99,93.67,46.12,43.4,-8.1,-7.0,0.3,-11.3,147.5163107972723,117.52550745725395,46.50968881615322,18.974361478564646,25.467606979026314,0.8449453949549536
AgAl(98.4-1.6),129.9,105.5,48.4,35.3,128.07,98.3,46.43,42.7,1.5,7.4,4.2,-17.3,156.32583119141879,126.70020153893839,46.029395712955555,22.062802523166077,28.891354566570083,-0.8628134547586573
AgAu(96-4),127.6,96.6,46.2,44.3,124.27,92.66,47.28,45.1,2.7,4.3,-2.2,-1.8,145.36024838449407,114.06513714325443,47.6007393846693,16.97131116479768,23.100730782704986,0.6783827932937866
AgBr,47.3,21.4,6.9,33.9,56.3,32.8,7.2,32.2,-16.0,-34.7,-4.0,5.5,53.02619714893744,29.19135047314179,7.160083455266075,-5.81492513510223,-11.001980264811612,-0.5543964546378523
AgCd(98.08-1.92),123.1,98.4,49.6,35.7,121.6,91.3,45.9,43.3,1.3,7.8,8.0,-17.4,143.88542421870483,113.91478692121866,46.29132952397529,18.32682912722437,24.769755663985396,0.8525697690093553
AgCl,50.0,37.1,14.5,18.3,60.1,36.2,6.25,32.9,-16.8,2.5,132.0,-44.2,141.6991208028792,118.64180822006092,6.260456207633997,135.7722475921451,227.73980171287545,0.16729932214394694
AgIn(91.64-8.36),107.3,78.6,40.8,40.8,116.6,89.0,45.0,39.5,-8.0,-11.6,-9.2,3.2,136.2528041151167,108.49342301852575,43.538444993147664,16.85489203697831,21.902722492725555,-3.2479000152274136
AgMg(96.93-3.07),115.3,90.6,46.9,35.6,119.8,89.8,46.0,42.9,-3.7,0.9,2.0,-17.0,135.94038150173756,106.04561460865685,45.70121735689541,13.472772539012993,18.090884864874,-0.6495274850099727
AgSn(96.83-3.17),124.6,97.7,49.1,38.8,121.0,92.2,45.8,41.3,3.0,6.0,7.1,-6.1,142.5819331226056,113.79246215121094,44.99242403387473,17.836308365789744,23.419156346215768,-1.76326630158356
AgZn(97.6-2.4),138.6,110.5,49.7,40.5,120.9,91.6,45.8,41.9,14.6,20.7,8.5,-3.4,143.11794923693037,113.88411003746552,45.179342649287555,18.377129228230245,24.327631045268042,-1.3551470539572965
Al,118.0,69.6,27.6,66.4,113.04,66.63,27.83,63.6,4.4,4.4,-0.9,4.4,119.1352402493849,74.67790033875721,29.02189482323397,5.392109208585369,12.078493679659639,4.282769756500083
AlSb,96.9,45.0,35.1,68.3,89.39,44.27,41.55,60.1,8.4,1.7,-15.6,13.8,92.94367290348795,47.79687129515213,41.04013710780524,3.975470302593075,7.966729828669813,-1.2271068404205865
Au,178.0,142.9,35.3,50.8,192.44,162.98,42.0,43.0,-7.5,-12.3,-16.1,18.2,303.3955355592804,274.974441340351,45.09308894263569,57.65721033011869,68.71667771527244,7.364497482465925
Au3Ag,136.3,107.0,53.5,42.2,166.21,132.41,48.54,48.8,-18.0,-19.2,10.2,-13.4,218.02488636934163,185.01694527120992,50.48695624317702,31.17434953934277,39.73034156877119,4.011034699581829
Au3Ni,230.8,190.1,41.5,59.1,195.73,158.19,50.98,54.3,17.9,20.2,-18.6,8.8,249.90044416274185,212.60702735941794,50.880881510676964,27.676106965075288,34.39978972085337,-0.19442622464306117
AuAg,149.9,120.9,57.9,42.0,148.94,113.5,50.76,50.8,0.7,6.6,14.1,-17.4,172.59775732794435,137.42285110066447,50.91067507933948,15.884085757986005,21.077401850805703,0.2968382177688705
AuAg3,132.6,102.5,49.1,43.2,138.26,104.48,48.78,48.3,-4.1,-1.9,0.6,-10.7,160.24955430344977,126.63518082031615,48.56860269097408,15.904494650260219,21.20518838085389,-0.4333688171913066
AuNi(57.58-42.42),183.6,147.0,70.1,52.8,199.5,156.0,61.86,62.6,-8.0,-5.7,13.4,-15.7,242.16427794749606,199.25177581470464,62.89462017123002,21.385602981201032,27.72549731711836,1.672518867167826
AuNi(90.28-9.72),204.5,165.7,37.1,56.3,192.31,160.95,44.97,45.6,6.4,2.9,-17.4,23.3,309.21595409187967,278.9731384619504,48.19751062185566,60.7903666433777,73.32907018449855,7.177030513354824
AuNi(97.05-2.95),195.4,164.5,42.1,45.1,192.59,162.61,43.0,43.7,1.5,1.1,-2.1,3.2,305.9906740753885,277.09680133046186,46.25924410799338,58.88191187257308,70.40575692175256,7.579637460449725
Ba3N2,69.3,32.3,12.9,48.8,60.2,18.6,12.1,51.4,15.1,73.7,6.7,-5.2,55.611537715147236,11.366632793451139,11.962627764138718,-7.622030373509579,-38.88907100295087,-1.1353077343907576
BaO,127.1,50.8,36.4,98.1,125.7,48.1,35.5,99.1,1.1,5.5,2.5,-1.0,135.1758066958435,59.97083344580835,36.032268355182914,7.53843014784686,24.679487413322974,1.4993474793884911
CaF2,168.0,33.0,32.2,157.1,162.8,43.3,33.4,144.6,3.2,-23.8,-3.6,8.7,159.45143911205736,30.53662195011227,32.52805152452131,-2.0568555822743573,-29.476623671796137,-2.6106241780799073
CdTe,66.0,45.3,15.8,29.1,53.51,36.81,19.94,23.5,23.3,23.1,-20.8,23.7,51.50571030935772,34.38355168388014,19.036064515815468,-3.745635751527343,-6.591818299700787,-4.5332772526807075
Co-fcc,237.5,175.0,90.1,89.0,225.0,160.0,92.0,92.0,5.6,9.4,-2.1,-3.2,242.9243089042329,177.47206068590532,89.38477228582171,7.966359512992401,10.920037928690824,-2.8426388197590096
CoO,249.3,136.7,83.1,152.5,255.6,143.6,80.3,152.3,-2.5,-4.8,3.5,0.2,299.0710269839578,189.18023109141527,80.96596165730394,17.00744404693184,31.741108002378326,0.8293420389837344
Cr,348.8,69.7,97.3,325.5,350.0,67.8,100.8,328.0,-0.3,2.9,-3.5,-0.7,347.1146762362977,67.2248659204669,101.55508392790624,-0.8243782182006498,-0.8482803532936584,0.7490911983196841
Cu,185.0,144.0,72.7,59.1,168.39,121.42,75.39,66.6,9.9,18.6,-3.6,-11.4,176.00925717711158,128.10426205334417,71.18713997222942,4.524768203047445,5.505074990400404,-5.574824284083544
Cu3Au,202.2,158.9,77.7,62.4,190.69,138.3,66.31,74.4,6.0,14.9,17.2,-16.1,200.9576596537858,148.1234260396867,64.51612939464758,5.3844772425328085,7.102983398182714,-2.705279151489103
CuAl(95.19-4.81),169.7,123.9,72.7,65.2,165.8,121.6,74.9,62.9,2.4,1.9,-2.9,3.6,170.67739682636912,126.03971603928582,72.64961438099907,2.9417351184373386,3.6510822691495286,-3.0045201855820256
CuAlNi(Cu–14.3Al–4.2%Ni (wt.%)),145.0,125.7,88.9,28.2,142.38,124.1,95.24,26.8,1.9,1.3,-6.6,5.3,116.31911516890067,97.7801904968118,91.4697242184057,-18.30375391986187,-21.208549156477197,-3.9587103964660786
CuGa(95.85-4.15),165.1,121.8,65.6,61.8,165.2,121.0,74.1,62.9,0.0,0.6,-11.4,-1.8,171.213814072046,126.34535409408952,70.84918580322832,3.640323288163449,4.417648011644228,-4.387063693349084
CuGa(98.42-1.58),169.6,123.8,72.6,65.2,165.0,119.2,74.3,65.0,2.8,3.8,-2.3,0.3,175.17337972191459,128.38405236236525,69.69862343800592,6.165684679948233,7.704741914735949,-6.19296980079956
CuGe(98.97-1.03),169.5,126.0,72.2,62.1,166.6,121.0,75.0,64.8,1.8,4.1,-3.8,-4.1,175.38546014009088,128.83791442442654,70.56125645085208,5.273385438229826,6.477615226798796,-5.91832473219722
CuNi(96.98-3.02),176.2,131.2,74.3,64.2,169.33,121.89,76.31,67.3,4.1,7.7,-2.7,-4.6,177.62299718650038,129.2075047968254,71.89718170457691,4.897535691549265,6.003367623944039,-5.782752320040746
CuSi(95.83-4.17),168.6,124.6,69.6,62.6,167.8,124.2,74.8,62.1,0.5,0.3,-6.9,0.8,172.86284918396274,129.00699845338366,73.31522150061103,3.0171926006929235,3.8703691251076133,-1.9849979938355162
