,C11_Predicted(Gpa),C12_Predicted(Gpa),C44_Predicted(Gpa),E1_Predicted(Gpa),C11_Reported(Gpa),C12_Reported(Gpa),C44_Reported(Gpa),E1_Reported(Gpa),C11_Error(%),C12_Error(%),C44_Error(%),E1_Error(%),C11_Pred(Me),C12_Pred(Me),C44_Pred(Me),C11_Error_Me,C12_Error_Me,C44_Error_Me
CuZn(95.41-4.59),154.2,110.7,68.2,61.7,163.4,119.2,74.2,62.8,-5.6,-7.2,-8.1,-1.8,179.09,134.24,70.42,9.60,12.61,-5.09
F3KMg,122.9,25,43.5,114.5,132,39.6,48.5,113.7,-6.9,-37,-10.4,0.7,115.86,-7.24,47.32,-12.23,-118.29,-2.44
Fe,223.3,122.5,115,136.5,233.1,135.44,117.83,133.6,-4.2,-9.5,-2.4,2.2,274.68,180.18,122.73,17.84,33.03,4.16
FeAl(59.89-40.11),173.9,109.3,127.7,89.6,181.05,113.69,127.09,93.3,-3.9,-3.9,0.5,-4,209.04,141.73,122.95,15.46,24.66,-3.25
FeAl(66-34),171.7,115.3,134.2,79,171.67,113.55,129.54,81.3,0,1.6,3.6,-2.8,184.08,125.27,122.18,7.23,10.32,-5.68
FeAl(71.92-28.08),174.5,132.2,136.8,60.6,166.36,122.58,130.97,62.4,4.9,7.9,4.5,-2.8,208.22,166.11,146.63,25.16,35.51,11.96
FeAl(74.95-25.05),174.8,137.8,139.5,53.2,170.99,130.61,131.7,57.9,2.2,5.5,5.9,-8,203.95,164.42,138.99,19.28,25.89,5.54
FeAl(80.17-19.83),174.4,128.1,133,65.8,179.42,124.82,125.54,77,-2.8,2.7,5.9,-14.5,170.82,114.55,115.28,-4.79,-8.23,-8.17
FeAl(85.5-14.5),200.6,135.8,125.5,91,193.71,124.93,124.34,95.7,3.6,8.7,1,-5,205.22,134.35,113.45,5.94,7.54,-8.76
FeAl(90.35-9.65),202.2,127.1,137.2,104,204.89,126.97,122.62,107.7,-1.3,0.1,11.9,-3.5,206.49,129.29,125.38,0.78,1.83,2.25
FeAl(96.03-3.97),222.4,138.5,120.8,116.1,220.83,132.49,120.22,121.5,0.7,4.5,0.5,-4.4,257.27,168.72,115.39,16.50,27.34,-4.02
FeCr2O4(Chromite),327.6,138.8,123,245,322.5,143.7,116.7,233.9,1.6,-3.4,5.4,4.7,377.15,201.94,116.21,16.95,40.53,-0.42
GaAs,125.3,50.8,53.5,96.1,119.04,53.84,59.52,85.5,5.3,-5.7,-10.2,12.3,125.37,61.87,61.27,5.32,14.92,2.94
GaP,149.4,60.2,62,114.8,141.2,62.53,70.47,102.8,5.8,-3.7,-12,11.6,151.37,74.94,72.38,7.20,19.85,2.70
Garnet(21.8% FeO),198.5,80.8,50.2,151.8,197,90,57,140.6,0.8,-10.3,-12,8,206.17,91.46,53.32,4.65,1.62,-6.45
Garnet(22.7% FeO),196.6,124.3,69.1,100.3,192,99,59,124.6,2.4,25.6,17.1,-19.5,215.67,122.59,58.16,12.33,23.83,-1.43
Garnet(23.6% FeO),199.5,97.9,63.7,135.1,210,103,67,142.2,-5,-5,-4.9,-5,237.44,128.06,64.56,13.07,24.33,-3.64
Garnet(26.2% FeO),226.2,130.4,54.2,130.8,226,126,62,135.8,0.1,3.5,-12.6,-3.7,262.49,162.41,61.13,16.14,28.89,-1.40
Garnet(28.7% FeO),272.9,161.2,62.5,153.2,273,157,68,158.4,0,2.7,-8.1,-3.3,374.57,265.18,70.75,37.21,68.90,4.05
Garnet(33.5% FeO),325.7,125.7,83.2,255.8,327,124,89,258.8,-0.4,1.3,-6.5,-1.2,361.22,165.63,90.43,10.46,33.58,1.60
GaSb,90.3,36.4,37,69.4,88.39,40.33,43.16,63.1,2.1,-9.8,-14.4,9.9,93.74,46.48,43.59,6.05,15.25,0.99
HfCo2,247.1,108.5,87.4,180.9,255.54,123.3,90.3,175.3,-3.3,-12,-3.2,3.2,316.82,190.33,92.58,23.98,54.37,2.53
HgTe,63.3,48,21.3,21.9,54.8,38.1,20.4,23.5,15.4,25.9,4.3,-7,74.56,58.58,21.89,36.05,53.75,7.29
InAs,78,43.4,40.1,47,83.29,45.26,39.59,51.4,-6.3,-4.1,1.3,-8.6,104.67,66.73,37.95,25.67,47.43,-4.14
InP,102.1,58.1,41.2,59.9,102.2,57.6,46,60.7,-0.1,0.9,-10.5,-1.2,133.84,89.54,44.42,30.95,55.45,-3.44
InSb,68.2,35.2,27.6,44.3,64.72,32.65,30.71,42.8,5.4,7.8,-10.3,3.4,72.10,40.58,30.79,11.41,24.29,0.25
KF,74.4,18.5,12.7,67,64.85,14.27,12.81,59.7,14.7,29.7,-0.6,12.3,68.25,15.33,12.44,5.24,7.43,-2.86
LiF,124.2,50.7,53.6,94.8,119,45.8,54.2,93.5,4.4,10.8,-1.1,1.3,124.82,51.50,53.30,4.89,12.45,-1.65
Magnetite,271,113.6,96.1,203.9,275,104,95.5,217.9,-1.4,9.3,0.7,-6.4,218.18,-5.79,93.54,-20.66,-105.57,-2.05
Mg2Sn,83,16.8,34.9,77.4,82.4,20.8,36.6,74,0.8,-19.1,-4.7,4.5,75.80,1.54,35.21,-8.01,-92.57,-3.79
MgAg,71.5,43.6,47.3,38.4,84.6,56.7,48.5,39.1,-15.5,-23.1,-2.5,-1.7,92.05,63.32,44.20,8.81,11.68,-8.87
MgAl2O4(Spinel),276.2,150.4,167.7,170.2,279,153,153,170.6,-1,-1.7,9.6,-0.2,329.95,206.71,154.14,18.26,35.11,0.75
MgCu2,122.3,76.2,44.7,63.8,122.8,70.6,41.2,71.3,-0.4,7.9,8.4,-10.5,176.32,126.93,43.02,43.59,79.79,4.43
