,C11_Predicted(Gpa),C12_Predicted(Gpa),C44_Predicted(Gpa),E1_Predicted(Gpa),C11_Reported(Gpa),C12_Reported(Gpa),C44_Reported(Gpa),E1_Reported(Gpa),C11_Error(%),C12_Error(%),C44_Error(%),E1_Error(%),C11_Pred(Me),C12_Pred(Me),C44_Pred(Me),C11_Error_Me,C12_Error_Me,C44_Error_Me
Ag,114.0,87.2,46.2,38.5,123.99,93.67,46.12,43.4,-8.1,-7.0,0.3,-11.3,122.53307311895347,92.86892494846616,47.26604644477894,-1.1750357940531717,-0.8552098340278028,2.484922907152947
AgAl(98.4-1.6),129.9,105.5,48.4,35.3,128.07,98.3,46.43,42.7,1.5,7.4,4.2,-17.3,133.52621006730655,107.62250684602984,41.19410401748251,4.2603342447931265,9.48373026045762,-11.27696744027028
AgAu(96-4),127.6,96.6,46.2,44.3,124.27,92.66,47.28,45.1,2.7,4.3,-2.2,-1.8,98.2333299590764,71.50828657974586,43.49866337676362,-20.95169392526241,-22.8272322687828,-7.997750895170003
AgBr,47.3,21.4,6.9,33.9,56.3,32.8,7.2,32.2,-16.0,-34.7,-4.0,5.5,56.28896117616617,33.68274549159431,7.03648155664797,-0.019607147129358463,2.6912972304704685,-2.2710894910004233
AgCd(98.08-1.92),123.1,98.4,49.6,35.7,121.6,91.3,45.9,43.3,1.3,7.8,8.0,-17.4,68.91329946146848,41.963018365543164,36.971099550322585,-43.327878732345,-54.038315043216684,-19.452942156159946
AgCl,50.0,37.1,14.5,18.3,60.1,36.2,6.25,32.9,-16.8,2.5,132.0,-44.2,46.82692484135868,25.367180207761248,5.503310138675938,-22.08498362502715,-29.92491655314573,-11.947037781184989
AgIn(91.64-8.36),107.3,78.6,40.8,40.8,116.6,89.0,45.0,39.5,-8.0,-11.6,-9.2,3.2,113.23812393771773,87.26412522448241,44.86692536981173,-2.8832556280293855,-1.9504210960871764,-0.29572140041837414
AgMg(96.93-3.07),115.3,90.6,46.9,35.6,119.8,89.8,46.0,42.9,-3.7,0.9,2.0,-17.0,119.3390338207989,94.55872498050053,43.88894763305324,-0.3847797823047529,5.2992483079070505,-4.589244275971214
AgSn(96.83-3.17),124.6,97.7,49.1,38.8,121.0,92.2,45.8,41.3,3.0,6.0,7.1,-6.1,93.42276032026948,65.60786953611915,45.010544285396755,-22.79110717333101,-28.84179009097706,-1.723702433631534
AgZn(97.6-2.4),138.6,110.5,49.7,40.5,120.9,91.6,45.8,41.9,14.6,20.7,8.5,-3.4,117.08361222092098,91.21385553726874,39.7593690399627,-3.156648287079423,-0.421555090317961,-13.189150567767028
Al,118.0,69.6,27.6,66.4,113.04,66.63,27.83,63.6,4.4,4.4,-0.9,4.4,105.26665853313838,59.75880241415266,26.80224173792161,-6.87662904004036,-10.312468236300967,-3.6929869280574548
AlSb,96.9,45.0,35.1,68.3,89.39,44.27,41.55,60.1,8.4,1.7,-15.6,13.8,70.51534769202844,28.938619543946544,34.762447010005616,-21.114948325284214,-34.63153480021111,-16.3358676052813
Au,178.0,142.9,35.3,50.8,192.44,162.98,42.0,43.0,-7.5,-12.3,-16.1,18.2,174.37104190754619,145.31719958099907,42.32638380322938,-9.389398302044176,-10.837403619463073,0.7771042934032936
Au3Ag,136.3,107.0,53.5,42.2,166.21,132.41,48.54,48.8,-18.0,-19.2,10.2,-13.4,167.75770358374385,135.60287409398737,48.57473916997574,0.9311735658166411,2.4113541983138513,0.07156812932786111
Au3Ni,230.8,190.1,41.5,59.1,195.73,158.19,50.98,54.3,17.9,20.2,-18.6,8.8,177.4658029840687,140.89595005636576,49.665220487912684,-9.33132223774143,-10.932454607518956,-2.5790104199437285
AuAg,149.9,120.9,57.9,42.0,148.94,113.5,50.76,50.8,0.7,6.6,14.1,-17.4,152.22206924994506,118.91684748830772,52.69428168574963,2.2036184033470305,4.772552853134559,3.8106416188921033
AuAg3,132.6,102.5,49.1,43.2,138.26,104.48,48.78,48.3,-4.1,-1.9,0.6,-10.7,125.67837077603923,92.10127208216822,48.74479730222281,-9.099977740460554,-11.847940197005917,-0.07216625210576917
AuNi(57.58-42.42),183.6,147.0,70.1,52.8,199.5,156.0,61.86,62.6,-8.0,-5.7,13.4,-15.7,197.99221295981292,156.52447712540885,62.16875762223236,-0.7557829775373848,0.33620328551849393,0.49912321731710857
AuNi(90.28-9.72),204.5,165.7,37.1,56.3,192.31,160.95,44.97,45.6,6.4,2.9,-17.4,23.3,138.00725723147332,107.653991202401,43.86152717345045,-28.237087394585142,-33.11339471736502,-2.464916225371473
AuNi(97.05-2.95),195.4,164.5,42.1,45.1,192.59,162.61,43.0,43.7,1.5,1.1,-2.1,3.2,124.79562350754887,100.4626325967544,36.01311976238978,-35.20140012069741,-38.218662691867415,-16.248558692116795
Ba3N2,69.3,32.3,12.9,48.8,60.2,18.6,12.1,51.4,15.1,73.7,6.7,-5.2,44.39996591785821,13.269439650008627,8.878739433477147,-26.24590379093321,-28.658926612856853,-26.62198815308143
BaO,127.1,50.8,36.4,98.1,125.7,48.1,35.5,99.1,1.1,5.5,2.5,-1.0,127.82843784765778,51.587515998574695,35.084475143385895,1.6932679774524888,7.2505530115897985,-1.1704925538425506
CaF2,168.0,33.0,32.2,157.1,162.8,43.3,33.4,144.6,3.2,-23.8,-3.6,8.7,131.11659566384492,31.832036992640802,28.314125326071018,-19.461550575033836,-26.4849030193053,-15.2271696824221
CdTe,66.0,45.3,15.8,29.1,53.51,36.81,19.94,23.5,23.3,23.1,-20.8,23.7,49.35897589059046,33.53569488684713,17.96497465359006,-7.757473573929249,-8.895151081643222,-9.904841255817166
Co-fcc,237.5,175.0,90.1,89.0,225.0,160.0,92.0,92.0,5.6,9.4,-2.1,-3.2,221.94455126656717,160.71230428445813,86.51225318043574,-1.3579772148590337,0.44519017778632985,-5.9649421951785495
CoO,249.3,136.7,83.1,152.5,255.6,143.6,80.3,152.3,-2.5,-4.8,3.5,0.2,222.5969980364639,122.23240455943267,71.73833597442444,-12.911972599192525,-14.879941114601205,-10.662097167590975
Cr,348.8,69.7,97.3,325.5,350.0,67.8,100.8,328.0,-0.3,2.9,-3.5,-0.7,328.9139652436385,43.91528616905353,97.32699929998141,-6.024581358960437,-35.228191491071485,-3.445437202399393
Cu,185.0,144.0,72.7,59.1,168.39,121.42,75.39,66.6,9.9,18.6,-3.6,-11.4,166.4813344921336,121.98436174323658,73.16746310207436,-1.1334791305103475,0.4648013039339272,-2.948052656752402
Cu3Au,202.2,158.9,77.7,62.4,190.69,138.3,66.31,74.4,6.0,14.9,17.2,-16.1,178.8212199642762,128.16021947071158,64.82113519076802,-6.224122940754,-7.331728509969942,-2.2453096203166703
CuAl(95.19-4.81),169.7,123.9,72.7,65.2,165.8,121.6,74.9,62.9,2.4,1.9,-2.9,3.6,148.457502147357,105.02693998111508,71.81137859178833,-10.459890140315451,-13.629161199740887,-4.123660091070333
CuAlNi(Cu–14.3Al–4.2%Ni (wt.%)),145.0,125.7,88.9,28.2,142.38,124.1,95.24,26.8,1.9,1.3,-6.6,5.3,174.94725086759837,157.5492183384551,104.39933848929965,22.87347300716279,26.953439434693877,9.61711307150321
CuGa(95.85-4.15),165.1,121.8,65.6,61.8,165.2,121.0,74.1,62.9,0.0,0.6,-11.4,-1.8,169.1310017663499,127.19768869048225,72.63988971681754,2.3795410207929226,5.122056768993597,-1.9704592215687708
CuGa(98.42-1.58),169.6,123.8,72.6,65.2,165.0,119.2,74.3,65.0,2.8,3.8,-2.3,0.3,168.17175832307353,123.34376317626193,73.90753915305518,1.9222777715597168,3.476311389481483,-0.5282110995219577
CuGe(98.97-1.03),169.5,126.0,72.2,62.1,166.6,121.0,75.0,64.8,1.8,4.1,-3.8,-4.1,170.24209174638145,126.79112516681745,76.83379691902168,2.1861294996287235,4.786053856873926,2.445062558695573
CuNi(96.98-3.02),176.2,131.2,74.3,64.2,169.33,121.89,76.31,67.3,4.1,7.7,-2.7,-4.6,139.07392068248902,92.4925271946147,63.75586776954857,-17.8681151110323,-24.11803495396284,-16.45149027709531
CuSi(95.83-4.17),168.6,124.6,69.6,62.6,167.8,124.2,74.8,62.1,0.5,0.3,-6.9,0.8,141.7805964748723,106.42421323414239,65.4311284891605,-15.506199955380035,-14.31222766977264,-12.525229292566173
CuZn(77.3-22.7),151.7,113.5,65.5,54.6,144.7,107.1,71.3,53.6,4.8,5.9,-8.2,1.9,145.36543257273394,109.37456183764034,70.64839447246804,0.45987047182719304,2.1237738913542006,-0.9138927454866141
