,C11_Predicted(Gpa),C12_Predicted(Gpa),C44_Predicted(Gpa),E1_Predicted(Gpa),C11_Reported(Gpa),C12_Reported(Gpa),C44_Reported(Gpa),E1_Reported(Gpa),C11_Error(%),C12_Error(%),C44_Error(%),E1_Error(%),C11_Pred(Me),C12_Pred(Me),C44_Pred(Me),C11_Error_Me,C12_Error_Me,C44_Error_Me
CuZn(95.41-4.59),154.2,110.7,68.2,61.7,163.4,119.2,74.2,62.8,-5.6,-7.2,-8.1,-1.8,146.39333157691684,102.11871649746256,71.89348679101519,-10.407997810944412,-14.32993582427638,-3.1085083679040575
F3KMg,122.9,25.0,43.5,114.5,132.0,39.6,48.5,113.7,-6.9,-37.0,-10.4,0.7,110.93896011080572,28.66304528449526,42.43493388567082,-15.955333249389604,-27.618572513900855,-12.505290957379746
Fe,223.3,122.5,115.0,136.5,233.1,135.44,117.83,133.6,-4.2,-9.5,-2.4,2.2,220.41123857885609,125.13950570141209,114.2309262534403,-5.44348409315483,-7.6052084307353125,-3.0544629946191093
FeAl(59.89-40.11),173.9,109.3,127.7,89.6,181.05,113.69,127.09,93.3,-3.9,-3.9,0.5,-4.0,164.1301061896217,102.27086897593053,114.63261906243939,-9.345426020645297,-10.044094488582525,-9.802015058274149
FeAl(66-34),171.7,115.3,134.2,79.0,171.67,113.55,129.54,81.3,0.0,1.6,3.6,-2.8,183.42963573124905,129.160998471754,129.8945605654781,6.850140229072677,13.74812723183972,0.273707399627988
FeAl(71.92-28.08),174.5,132.2,136.8,60.6,166.36,122.58,130.97,62.4,4.9,7.9,4.5,-2.8,156.41589534168764,112.66146042309829,123.25955730508178,-5.977461323823256,-8.091482767908067,-5.887182327951603
FeAl(74.95-25.05),174.8,137.8,139.5,53.2,170.99,130.61,131.7,57.9,2.2,5.5,5.9,-8.0,154.22921133258976,115.79056987118078,135.41465759209976,-9.802204027960846,-11.346321207272975,2.8205448687166053
FeAl(80.17-19.83),174.4,128.1,133.0,65.8,179.42,124.82,125.54,77.0,-2.8,2.7,5.9,-14.5,176.33504793110987,123.22251979471417,120.73090842703084,-1.719402557624634,-1.2798271152746512,-3.83072452841259
FeAl(85.5-14.5),200.6,135.8,125.5,91.0,193.71,124.93,124.34,95.7,3.6,8.7,1.0,-5.0,173.74461841027073,105.71465024264128,119.50048549269802,-10.306840942506467,-15.38089310602635,-3.8921622223757315
FeAl(90.35-9.65),202.2,127.1,137.2,104.0,204.89,126.97,122.62,107.7,-1.3,0.1,11.9,-3.5,204.2677799992771,133.43925983517502,120.08429734721834,-0.30368490444769214,5.095108951071138,-2.067935616360843
FeAl(96.03-3.97),222.4,138.5,120.8,116.1,220.83,132.49,120.22,121.5,0.7,4.5,0.5,-4.4,219.97276473343015,148.13268082007195,120.28824181809874,-0.3881878669428333,11.80668791612344,0.05676411420623956
FeCr2O4(Chromite),327.6,138.8,123.0,245.0,322.5,143.7,116.7,233.9,1.6,-3.4,5.4,4.7,247.63959112188195,122.85789755337015,85.23107323816801,-23.21252988468777,-14.50389871025041,-26.965661321192798
GaAs,125.3,50.8,53.5,96.1,119.04,53.84,59.52,85.5,5.3,-5.7,-10.2,12.3,98.91634097609983,41.88747088740351,47.89280476567017,-16.90495549722797,-22.20009121953286,-19.534938229720822
GaP,149.4,60.2,62.0,114.8,141.2,62.53,70.47,102.8,5.8,-3.7,-12.0,11.6,129.9618822832614,58.6479542993452,61.230630190811624,-7.959006881542918,-6.208293140340316,-13.111068269034163
Garnet(21.8% FeO),198.5,80.8,50.2,151.8,197.0,90.0,57.0,140.6,0.8,-10.3,-12.0,8.0,192.6883010054308,86.58899324588445,55.15907246330891,-2.1886796926747274,-3.7900075045728303,-3.2296974327913865
Garnet(22.7% FeO),196.6,124.3,69.1,100.3,192.0,99.0,59.0,124.6,2.4,25.6,17.1,-19.5,184.8267622746803,94.7596579383042,56.95415072840769,-3.7360613152706743,-4.283173799692726,-3.467541138292051
Garnet(23.6% FeO),199.5,97.9,63.7,135.1,210.0,103.0,67.0,142.2,-5.0,-5.0,-4.9,-5.0,194.01074382421262,88.7283006054248,66.62739116452605,-7.613931512279702,-13.856018829684654,-0.5561325902596336
Garnet(26.2% FeO),226.2,130.4,54.2,130.8,226.0,126.0,62.0,135.8,0.1,3.5,-12.6,-3.7,206.02100472646526,108.10561312275942,60.273762098222825,-8.840263395369352,-14.201894347016331,-2.784254680285766
Garnet(28.7% FeO),272.9,161.2,62.5,153.2,273.0,157.0,68.0,158.4,0.0,2.7,-8.1,-3.3,282.0714945441371,170.39092632250552,66.54999519936509,3.322891774409203,8.529252434716891,-2.132360000933698
Garnet(33.5% FeO),325.7,125.7,83.2,255.8,327.0,124.0,89.0,258.8,-0.4,1.3,-6.5,-1.2,309.51009337137015,117.67402817518715,83.51656550346769,-5.348595299275185,-5.101590181300688,-6.161162355654282
GaSb,90.3,36.4,37.0,69.4,88.39,40.33,43.16,63.1,2.1,-9.8,-14.4,9.9,85.31476108245236,38.23721333324358,41.23735781072409,-3.4791706273873024,-5.189156128828211,-4.454685331964562
HfCo2,247.1,108.5,87.4,180.9,255.54,123.3,90.3,175.3,-3.3,-12.0,-3.2,3.2,251.66788723109778,130.9020705607963,86.87269135247223,-1.515266795375367,6.16550734857769,-3.795469155623219
HgTe,63.3,48.0,21.3,21.9,54.8,38.1,20.4,23.5,15.4,25.9,4.3,-7.0,59.3877984918665,44.54252394448011,20.888014203858244,8.371895058150548,16.90951166530212,2.392226489501204
InAs,78.0,43.4,40.1,47.0,83.29,45.26,39.59,51.4,-6.3,-4.1,1.3,-8.6,80.27683864859867,42.976505061245504,38.388643186174846,-3.6176748125841476,-5.0452826751093545,-3.0344956146126725
InP,102.1,58.1,41.2,59.9,102.2,57.6,46.0,60.7,-0.1,0.9,-10.5,-1.2,74.04515728878212,34.20006399913837,34.74854563493372,-27.548769776142738,-40.624888890384774,-24.459683402318
InSb,68.2,35.2,27.6,44.3,64.72,32.65,30.71,42.8,5.4,7.8,-10.3,3.4,64.39427287650393,32.48995556973256,29.951484505924725,-0.5032866555872458,-0.49018202225862306,-2.4699299709387033
KF,74.4,18.5,12.7,67.0,64.85,14.27,12.81,59.7,14.7,29.7,-0.6,12.3,53.66107718134819,7.726968890844729,10.682434483454088,-17.253543282423756,-45.85165458412944,-16.608630105744826
LiF,124.2,50.7,53.6,94.8,119.0,45.8,54.2,93.5,4.4,10.8,-1.1,1.3,117.80798992974034,45.07400602503474,52.12747161781432,-1.0016891346719796,-1.5851396833302533,-3.823853103663617
Magnetite,271.0,113.6,96.1,203.9,275.0,104.0,95.5,217.9,-1.4,9.3,0.7,-6.4,238.58544933725292,80.09945146123746,86.67489306699314,-13.24165478645348,-22.981296671887055,-9.240949668070014
Mg2Sn,83.0,16.8,34.9,77.4,82.4,20.8,36.6,74.0,0.8,-19.1,-4.7,4.5,82.54307187196113,20.994528402590237,34.67524583681328,0.17363091257418248,0.9352327047607535,-5.258891156247866
MgAg,71.5,43.6,47.3,38.4,84.6,56.7,48.5,39.1,-15.5,-23.1,-2.5,-1.7,63.7765573881356,37.74334288325811,43.43147875067157,-24.61399835917777,-33.43325770148482,-10.450559276965828
MgAl2O4(Spinel),276.2,150.4,167.7,170.2,279.0,153.0,153.0,170.6,-1.0,-1.7,9.6,-0.2,228.41602142975734,110.35893752003874,137.6913118488557,-18.13045826890418,-27.869975477098865,-10.00567853015968
MgCu2,122.3,76.2,44.7,63.8,122.8,70.6,41.2,71.3,-0.4,7.9,8.4,-10.5,122.34559272141848,71.02112276169629,40.96776956531484,-0.370038500473545,0.5964911638757732,-0.5636661036047664
MnO,225.1,125.8,79.4,134.9,223.0,120.0,79.0,139.0,0.9,4.8,0.5,-2.9,218.86991268227456,121.42521064661034,76.54621398089272,-1.8520570931504217,1.1876755388419487,-3.1060582520345363
Mo,452.0,175.6,106.6,353.8,469.6,167.6,106.8,381.4,-3.7,4.8,-0.1,-7.2,363.5078769866811,131.91702439761457,82.81586014283475,-22.59201938103044,-21.2905582353135,-22.457059791353227
MoRe(73.1-26.9),444.0,177.4,128.1,342.8,460.7,195.9,132.3,343.8,-3.6,-9.5,-3.2,-0.3,349.2356144490051,-62.74426614572792,113.9497571080486,-24.194570338831106,-132.02872187122404,-13.87017603322102
MoRe(83.4-16.6),446.8,163.1,118.7,359.5,465.0,185.8,123.7,358.9,-3.9,-12.2,-4.0,0.2,394.96431303641407,156.91567184915414,104.10026256374928,-15.061438056685146,-15.545924731348695,-15.844573513541407
MoRe(93-7),455.5,171.3,103.6,361.8,466.5,172.9,114.8,373.0,-2.4,-0.9,-9.7,-3.0,469.7340634255909,180.59585516148434,112.41242133825946,0.6932611844782155,4.451044049441487,-2.0797723534325208
NaBrO3,62.5,21.0,14.3,52.0,57.32,17.64,15.23,49.0,9.1,18.8,-6.2,6.1,55.03074174443647,17.929975373046037,14.222902360447412,-3.9938211018205365,1.6438513211226577,-6.612591198638139
NaCl,59.3,20.6,10.8,48.7,49.6,13.1,12.68,44.1,19.6,57.1,-15.1,10.4,45.005005954688265,12.056075947780924,11.460418741307482,-9.26410089780592,-7.9688858948021055,-9.618148727858975
NaClO3,59.7,18.6,10.3,50.9,49.2,14.2,11.6,42.8,21.4,31.2,-11.4,18.8,46.65590710162209,13.674732033028024,11.009872607762984,-5.1709205251583565,-3.6990701899434915,-5.08730510549151
NaF,101.4,26.6,26.5,90.4,96.3,24.59,27.94,86.3,5.3,8.0,-5.3,4.7,93.56853097653698,23.7283097675569,27.051123463231658,-2.8364164314257745,-3.5042303068039806,-3.1813762948043784
Nb,233.7,127.4,33.9,143.7,240.19,125.58,28.22,154.0,-2.7,1.5,20.0,-6.6,247.4639508691963,139.25556694171053,27.79063988214822,3.0284153666665192,10.889924304595102,-1.5214745494393302
Nb3Sn,250.0,101.5,37.1,191.4,253.8,112.4,39.57,184.8,-1.5,-9.7,-6.2,3.6,235.33398324771736,98.57606206943511,38.73044017670318,-7.275814323200415,-12.298877162424285,-2.1217079183644603
Ni,248.5,163.7,94.5,118.5,244.0,158.0,102.0,119.8,1.9,3.6,-7.4,-1.1,235.2063919116242,154.8592661545478,100.06022655261145,-3.603937741137625,-1.9878062312988538,-1.9017386739103397
NiAl,202.0,135.4,115.0,93.2,211.55,143.23,112.11,95.9,-4.5,-5.4,2.6,-2.8,197.59572315429506,131.28446262287454,109.74075643483762,-6.5962074430181765,-8.340108480852788,-2.1133204577311373
NiAl(90.4-9.6),248.5,147.1,141.9,139.1,252.0,153.0,132.0,136.4,-1.4,-3.9,7.5,2.0,249.39533793282828,152.6719444959493,128.88801878144486,-1.0335960584014747,-0.21441536212463752,-2.3575615292084424
NiCu(31.1-68.9),191.3,134.8,81.1,79.8,189.1,131.9,89.6,80.7,1.2,2.2,-9.5,-1.1,180.48031974294656,125.09037431128812,88.19356556746818,-4.558265603941529,-5.162718490304693,-1.5696812863078242
NiCu(53.8-46.2),208.1,139.3,90.5,96.4,208.6,142.8,100.9,92.5,-0.3,-2.5,-10.3,4.2,210.04129270868268,147.98370144569515,97.94804135144403,0.6909361019571818,3.6300430291982737,-2.9256279965866923
NiCu(77.2-22.8),224.3,142.2,111.0,114.0,228.1,147.3,111.3,112.5,-1.7,-3.5,-0.3,1.3,220.000268952223,141.34434939224815,110.20371798095935,-3.550956180524769,-4.043211546335277,-0.9849793522377748
NiCu(80-20),223.2,144.8,103.0,109.2,229.8,149.4,113.7,112.1,-2.9,-3.0,-9.4,-2.5,217.0561526837079,139.17266905689794,110.16612138554254,-5.545625464008754,-6.8456030408983,-3.10807266003295
NiCu(92.7-7.3),252.3,150.7,113.8,139.6,241.3,151.1,120.1,124.9,4.6,-0.3,-5.2,11.8,236.22672927853378,149.07452163031041,116.54258994302256,-2.1024743976238,-1.3404886629315553,-2.96204001413608
PbF2,90.1,45.6,24.1,59.5,88.8,47.2,24.54,56.0,1.5,-3.5,-2.0,6.2,87.12613294353977,47.77148206319243,24.05890773700763,-1.8849854239416943,1.2107670830348027,-1.9604411694880584
PbS,102.1,39.8,25.5,79.8,102.0,38.0,25.0,81.4,0.1,4.8,2.1,-1.9,98.61757663343519,39.3681155675736,23.65190657263948,-3.3161013397694195,3.600304125193675,-5.392373709442084
Pd,223.1,181.0,83.8,61.0,227.1,176.04,71.73,73.4,-1.7,2.8,16.8,-16.8,67.3572117974386,-6.8984342710003155,48.2901453684005,-70.34028542605081,-103.91867431890499,-32.67789576411474
Permalloy(Ni73.8-Fe26.2),222.3,138.4,124.7,116.2,230.4,144.4,119.2,119.1,-3.5,-4.2,4.6,-2.5,246.76648819442286,178.1636311678915,107.82246563314844,7.103510501051587,23.382016044246193,-9.544911381586882
Pt,357.0,266.3,79.2,129.5,346.7,250.7,76.5,136.3,3.0,6.2,3.6,-4.9,348.29923987327953,257.12001367569206,72.41445132157911,0.4612748408651698,2.5608351319074893,-5.3405865077397285
RbCl,361.8,71.2,47.9,338.4,362.42,61.24,46.78,344.7,-0.2,16.2,2.4,-1.8,352.00333845336263,50.65150293597766,45.45729232511581,-2.874196111317638,-17.290165029429037,-2.8275067868409414
Si,174.8,71.3,76.9,133.5,165.78,63.94,79.62,130.2,5.5,11.5,-3.4,2.6,161.96764051561388,62.86734181798459,76.96795025078254,-2.2996498277151174,-1.677601160487034,-3.330883884975469
Sr3N2,57.4,28.4,13.1,38.6,47.3,21.8,14.6,33.5,21.4,30.3,-10.1,15.2,46.673565845847584,22.022582631232815,14.249874458582644,-1.324385103916307,1.0210212441872226,-2.398120146694217
SrF2,128.3,47.4,31.6,102.7,123.5,43.05,31.28,101.2,3.9,10.1,1.0,1.5,125.9070309729554,45.47872244452685,30.516439306941397,1.949012933567123,5.641631694603612,-2.4410508090108833
SrO,148.4,31.8,60.5,137.2,160.1,43.5,59.0,141.5,-7.3,-27.0,2.5,-3.0,118.60768535440253,25.276282930803355,43.45220437310488,-25.916498841722337,-41.89360245792332,-26.35219597778834
SrTiO3,329.7,125.1,125.2,260.9,318.7,103.4,123.0,268.0,3.5,21.0,1.8,-2.6,306.3673983707831,108.20706482392073,119.68321531233875,-3.8696584967734133,4.6489988625925776,-2.6965729167977677
Ta,255.1,159.2,85.5,132.8,266.7,160.8,82.49,145.7,-4.3,-1.0,3.7,-8.9,275.3123643424997,173.09314312828724,79.65156767333625,3.229232974315594,7.644989507641309,-3.440941116091344
Th,73.4,45.6,44.2,38.4,75.3,48.9,47.8,36.8,-2.5,-6.7,-7.5,4.4,66.41561758896009,40.567550763550614,41.75096866069404,-11.798648620238922,-17.039773489671543,-12.65487727888275
ThO2,350.5,80.2,63.4,320.6,367.0,106.0,79.7,319.5,-4.5,-24.3,-20.4,0.3,293.46625274342205,71.93664101229123,65.5836956971943,-20.03644339416293,-32.135244328027134,-17.711799627108785
TlCl,47.7,22.6,7.5,33.2,40.1,15.3,7.6,31.6,19.0,47.5,-1.2,5.0,30.05590202203875,9.092094987983852,5.79719011626137,-25.04762588020262,-40.574542562197045,-23.721182680771445
UC,324.6,66.3,58.6,302.1,320.0,85.0,64.7,284.3,1.4,-22.0,-9.4,6.2,308.8325677499855,80.61502794734331,62.70685558908963,-3.4898225781295267,-5.158790650184344,-3.0805941436018163
UO2,371.8,86.8,64.2,339.0,396.0,121.0,64.1,339.4,-6.1,-28.3,0.1,-0.1,277.24359932542893,88.24746527570206,48.12896667834995,-29.98899006933613,-27.068210515948714,-24.915808614118642
V,235.2,141.4,47.2,129.0,227.95,118.7,42.55,146.7,3.2,19.2,10.9,-12.1,215.32396652343124,109.30236838090252,41.63025463004595,-5.538948662675478,-7.917128575482292,-2.1615637366722686
ZnS,101.5,59.5,42.9,57.5,104.62,65.34,46.13,54.4,-3.0,-8.9,-7.1,5.7,104.0714330562466,66.11746362034435,45.0739500548462,-0.5243423281909768,1.1898739215554779,-2.289291014857581
ZnSe,75.5,45.5,44.9,41.2,80.96,48.81,44.05,44.2,-6.8,-6.8,1.9,-6.8,77.87234408339255,46.234276561402574,44.14643448144974,-3.81380424482145,-5.277040439658736,0.21892050272358882
ZnTe,76.6,46.9,30.4,41.0,71.34,40.78,31.15,41.7,7.4,14.9,-2.4,-1.5,72.80252202359027,42.950029552252886,31.172664605287668,2.050072923451454,5.321308367466613,0.07275956753665991
ZrCo2,223.5,94.1,79.1,167.8,233.11,112.71,83.66,159.6,-4.1,-16.5,-5.5,5.1,230.25203742510826,111.03952933819843,83.21456534432886,-1.2260145746178877,-1.4820962308593375,-0.5324344437857228
