,C11,C12,C44
R2,0.8203341464345302,0.6833846290248679,0.9885557099197249
RMSE,40.62262500787049,47.94357266707812,4.236259137917389
MAE,20.368068972111036,24.299874768130323,2.1262855566446768
SDAE,35.14739576238036,41.329193632789206,3.6639870653692017
