,eta,beta,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19
count,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0,839875.0
mean,1.187934996930155,1.572075872083642,0.044939780491268226,0.03716261913872575,0.034134607108197705,0.039983802565407865,0.030601168285309153,0.03732192483296517,0.03961096703660231,0.05121182363876625,0.04544742761691493,0.04169842743430809,0.04989558512973309,0.05514667843518657,0.052097800274990815,0.05658002035863292,0.058514052767513536,0.055760469517749975,0.06074981301406164,0.06346582140481055,0.07259101317021878,0.07308619777863676
std,0.46087602966801267,0.9066292685282511,0.053549694133891906,0.04233787144321094,0.030005307292422848,0.03900186976373046,0.0317435000231513,0.03596414565398937,0.03753214716591852,0.051639508157884866,0.0419121458452565,0.03638790960510223,0.049391875101870215,0.05004097523186994,0.04787055511573432,0.05054997885684693,0.05393534208633893,0.054721234535786346,0.06341692714941939,0.06497716981298855,0.07296594450738522,0.07644358291895978
min,0.0010600385106918,0.0002880713946249,8.399062805683313e-08,1.479416085516998e-09,5.062642936327505e-09,1.2596861382323816e-07,9.313258645214443e-09,1.1803863985597979e-08,2.201214115162776e-08,5.1641759732547504e-08,1.2318031654074213e-07,2.578840944303472e-08,2.054204940852238e-08,5.575090914359079e-08,5.6126550546677326e-08,7.396976194481663e-08,1.8117406709300387e-08,3.753706429048145e-08,7.537361851513722e-08,1.1513465350830723e-07,2.246338766123169e-08,7.34625886339738e-09
25%,0.8424452977006448,0.787651069798766,0.007297764436101587,0.005935399583955295,0.009696335440206542,0.010059975338039328,0.008440662094293136,0.01073080932192607,0.011900168256781828,0.013759863739576019,0.013828218616848745,0.014235005488895383,0.014517792170916841,0.016503070503482133,0.015990879474529172,0.01749325799852137,0.01780776919329903,0.01623754697489178,0.016892175464800097,0.017835253434725938,0.01999428861127895,0.019970689044909194
50%,1.234074226687958,1.5719264017968873,0.02627673240606423,0.01943941609517501,0.025695347638344603,0.027134264868375092,0.021124876758401214,0.025814199215868174,0.028672802548992207,0.03461178785988981,0.03277181873057258,0.03216043307567676,0.03476230716232532,0.040338562364405584,0.03806085851181723,0.04227433517383061,0.04293628674195316,0.03923334756454414,0.04073947793427765,0.043192509955629864,0.04964655640536676,0.049122128890752376
75%,1.5752434460393885,2.358957298823987,0.06248440838416258,0.05312413565257342,0.05178529711395459,0.058728459284869056,0.04315074812257402,0.052579547346668115,0.056155878961103134,0.07313897070116156,0.06533258686920529,0.059478986386695354,0.06859267566246544,0.07995081438900453,0.07420107137794921,0.08204894567116222,0.08415824436598286,0.07834743283413828,0.08276550920843473,0.08724707812497699,0.10124154589580248,0.10011052713968259
max,1.9163710257770703,3.141591242936568,0.5573790934794985,0.20430367337972835,0.27543959121451145,0.3221161375713626,0.33501386365177604,0.28472899521872597,0.4160415733279827,0.4217045934805538,0.37858470827346596,0.4121572900675662,0.43897213283952297,0.4735819642484968,0.5007318405385823,0.47510741755162694,0.8916920979590243,0.8156762852383226,0.6818820145801804,0.6504951352915929,0.7299909177733281,0.9010690177756194
