,eta,beta,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19
count,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0,649900.0
mean,1.187439756857688,1.5736686024208628,0.04186485461119194,0.03349854373659477,0.030615549141658534,0.036549423208683034,0.027629932711659044,0.032159180977981476,0.035163144936932,0.04684078981796478,0.04140168365585285,0.03921677704645271,0.0510727090961872,0.060687085494321114,0.056303817963316405,0.05474588060903038,0.06291967872773974,0.0575748922602145,0.06295832399107756,0.06598724500561079,0.07647415951592491,0.08633632749160626
std,0.4608106309318524,0.9063391445053787,0.052794358317277496,0.040343926425037584,0.02869736681587042,0.03792186167455666,0.031151769803814396,0.03198855275098333,0.034653722317035195,0.049644402817280706,0.03956981404094128,0.03472671201019328,0.05261792858690331,0.05910831220446902,0.055164980862508595,0.05230131506222053,0.06015050481517533,0.0557108503409732,0.06386610995472836,0.06685614570843507,0.0746614812922813,0.09933990700059406
min,0.0044681759534987,0.0002089050590563,3.3262308964221305e-10,3.438947257882388e-11,1.1805042830285542e-08,2.5824038401623196e-08,1.2079402091148607e-09,1.272049249721328e-07,7.141159088268881e-08,4.997768584733138e-10,2.543335924718836e-08,8.558901810685212e-08,1.915992075384492e-07,3.0846337035379185e-08,1.338701914081377e-07,2.2522044239372285e-07,7.247274715317792e-09,2.2222014443142443e-07,2.017424821314305e-07,3.4924290835872834e-08,3.446169714304096e-07,1.2606900253478687e-07
25%,0.8422765811389425,0.7905225797949054,0.005296624820138645,0.004376420445208387,0.007336577737752561,0.007927401343848013,0.006653844700749077,0.008722572878140131,0.010086085825901148,0.011432799623799221,0.012069943049148926,0.012886690800053118,0.013977837817818906,0.016882919018713666,0.01624621995796048,0.015924461182638728,0.01771336826427621,0.016239211976635335,0.017337225931115495,0.018568276103477943,0.0215652226891512,0.022450845321062743
50%,1.2332739465098665,1.5756210218381996,0.02242350918836087,0.016308965359092695,0.021837155039095366,0.023568970778697663,0.018177303361724337,0.02185416034860342,0.024872034667031053,0.030968118269239765,0.029161032285732278,0.029916712435278995,0.03380618597099015,0.04217783447994543,0.03937678216427197,0.0390328452963401,0.04408997504503626,0.040345748928754505,0.04207505041768174,0.04534987847147194,0.05260023340134515,0.05638383777515509
75%,1.5745208103893367,2.357825156324734,0.05860687058375764,0.047136918331517626,0.046873254748732815,0.053187025313740276,0.038212065359058814,0.045320482938169274,0.049565736167146844,0.06653462442918844,0.05855934641345145,0.056120326541292315,0.06952791250216221,0.08642435948393638,0.07888706798992036,0.07780245045456562,0.09061016252136048,0.08191917893858351,0.0873745326212045,0.09179261257853896,0.10775358742774467,0.11475395536394321
max,1.9163694053303897,3.141586844029411,0.5471062730941468,0.20072675059529616,0.27651360484443094,0.3236721264726988,0.34499168299389066,0.284793561969052,0.4019464662356816,0.4261219957831776,0.37553813956667026,0.38685989567311013,0.44847236763191956,0.5025385853306725,0.5467410126422758,0.6136433140358429,0.5436617613606919,0.5154888285867782,0.7284367954541627,0.6888601968689863,0.8206147741443209,0.7727485830432234
