,C11,C12,C44,C11,C12,C44,C11,C12,C44
MoRe(93-7),466.5,172.9,114.8,455.5,171.3,103.6,478.8,184.4,114.1
NaBrO3,57.32,17.64,15.23,62.5,21,14.3,59.1,19,15
NaCl,49.6,13.1,12.68,59.3,20.6,10.8,52.5,16.4,12.6
NaClO3,49.2,14.2,11.6,59.7,18.6,10.3,50.8,15.9,11.6
NaF,96.3,24.59,27.94,101.4,26.6,26.5,99.9,27.3,27.5
Nb,240.19,125.58,28.22,233.7,127.4,33.9,258.4,141.9,27.9
Nb3Sn,253.8,112.4,39.57,250,101.5,37.1,238.3,97.2,39.9
Ni,244,158,102,248.5,163.7,94.5,233.1,146.5,101.2
NiAl,211.55,143.23,112.11,202,135.4,115,210.9,144,118.6
NiAl(90.4-9.6),252,153,132,248.5,147.1,141.9,245.3,145.3,129.7
NiCu(31.1-68.9),189.1,131.9,89.6,191.3,134.8,81.1,178.6,121.5,91.1
NiCu(53.8-46.2),208.6,142.8,100.9,208.1,139.3,90.5,203,137.7,103.5
NiCu(77.2-22.8),228.1,147.3,111.3,224.3,142.2,111,228.8,147.8,110.6
NiCu(80-20),229.8,149.4,113.7,223.2,144.8,103,233.3,152.9,113.4
NiCu(92.7-7.3),241.3,151.1,120.1,252.3,150.7,113.8,243.8,154.6,123.2
PbF2,88.8,47.2,24.54,90.1,45.6,24.1,89.5,47.7,24.4
PbS,102,38,25,102.1,39.8,25.5,104.6,40.4,24.9
Pd,227.1,176.04,71.73,223.1,181,83.8,226.1,175.7,74
Permalloy(Ni73.8-Fe26.2),230.4,144.4,119.2,222.3,138.4,124.7,232,146.1,119.2
Pt,346.7,250.7,76.5,357,266.3,79.2,302.8,205.2,75.4
RbCl,362.42,61.24,46.78,361.8,71.2,47.9,392.1,95.9,46.5
Si,165.78,63.94,79.62,174.8,71.3,76.9,161,59.6,80.9
Sr3N2,47.3,21.8,14.6,57.4,28.4,13.1,47.8,22.3,14.6
SrF2,123.5,43.05,31.28,128.3,47.4,31.6,127,46,31
SrO,160.1,43.5,59,148.4,31.8,60.5,152.6,32.1,58.7
SrTiO3,318.7,103.4,123,329.7,125.1,125.2,322.7,107.2,122.5
Ta,266.7,160.8,82.49,255.1,159.2,85.5,256.4,151,83.5
Th,75.3,48.9,47.8,73.4,45.6,44.2,73.3,46.4,45.6
ThO2,367,106,79.7,350.5,80.2,63.4,349.1,72.6,78.4
TlCl,40.1,15.3,7.6,47.7,22.6,7.5,39.6,14.2,7.5
UC,320,85,64.7,324.6,66.3,58.6,327.4,85.9,63.6
UO2,396,121,64.1,371.8,86.8,64.2,403.1,121.6,63.5
V,227.95,118.7,42.55,235.2,141.4,47.2,248.1,137.8,42
ZnS,104.62,65.34,46.13,101.5,59.5,42.9,100.7,61.1,45.7
ZnSe,80.96,48.81,44.05,75.5,45.5,44.9,78.4,45.4,41.9
ZnTe,71.34,40.78,31.15,76.6,46.9,30.4,71.2,40.1,30.2
ZrCo2,233.11,112.71,83.66,223.5,94.1,79.1,234,113.1,83.2
