,C11,C12,C44,C11,C12,C44
Pt,3,6.2,3.6,-12.7,-18.2,-1.4
RbCl,-0.2,16.2,2.4,8.2,56.5,-0.6
Si,5.5,11.5,-3.4,-2.9,-6.8,1.6
Sr3N2,21.4,30.3,-10.1,1,2.4,0
SrF2,3.9,10.1,1,2.9,6.9,-1
SrO,-7.3,-27,2.5,-4.7,-26.2,-0.4
SrTiO3,3.5,21,1.8,1.3,3.7,-0.4
Ta,-4.3,-1,3.7,-3.9,-6.1,1.2
Th,-2.5,-6.7,-7.5,-2.6,-5.1,-4.6
ThO2,-4.5,-24.3,-20.4,-4.9,-31.5,-1.6
TlCl,19,47.5,-1.2,-1.3,-7.3,-1.2
UC,1.4,-22,-9.4,2.3,1.1,-1.7
UO2,-6.1,-28.3,0.1,1.8,0.5,-1
V,3.2,19.2,10.9,8.8,16.1,-1.3
ZnS,-3,-8.9,-7.1,-3.7,-6.5,-1
ZnSe,-6.8,-6.8,1.9,-3.2,-6.9,-4.8
ZnTe,7.4,14.9,-2.4,-0.2,-1.8,-3.2
ZrCo2,-4.1,-16.5,-5.5,0.4,0.3,-0.6
